id,age,gender,salary
293,20,F,26006
294,56,female,74011
295,49,Female,52095
296,25,Female,31491
297,33,F,38282
298,55,female,46626
299,52,F,58087
300,57,F,62707
301,58,F,50620
302,25,male,24941
303,45,female,51859
304,43,Male,56859
305,52,male,62852
306,27,male,34403
307,53,M,47025
308,53,female,47727
309,43,Female,63041
310,21,male,22652
311,27,male,28259
312,44,male,40306
313,49,Female,56577
314,51,Male,55827
315,49,Female,68789
316,26,female,31769
317,43,Female,43290
318,28,Male,38234
319,35,F,49705
320,21,female,31587
321,54,Female,59892
322,53,female,47158
323,41,F,47504
324,38,Male,35636
325,40,Female,48042
326,31,Female,44149
327,30,female,37320
328,38,M,37397
329,25,M,40729
330,33,Female,41788
331,52,M,45216
332,57,male,52124
333,32,Male,40244
334,45,female,46596
335,33,F,39575
336,43,male,38858
337,20,Male,30783
338,49,female,54697
339,29,Female,41433
340,29,M,31630
341,47,M,65295
342,23,F,38529
343,33,Female,36450
344,31,female,37665
345,57,female,77170
346,56,Female,67492
347,29,Male,36770
348,46,M,42844
349,31,Male,28782
350,41,Female,48128
351,23,Male,31628
352,48,Female,56050
353,55,female,58988
354,33,F,29185
355,31,M,29546
356,39,male,46125
357,42,female,46873
358,41,male,44015
359,53,M,72860
360,40,Female,34832
361,28,Female,42034
362,29,Male,34126
363,29,female,43853
364,49,M,43238
365,52,male,46271
366,21,Male,28222
367,51,F,43189
368,36,M,54479
369,47,F,46371
370,36,Male,39009
371,33,Female,31524
372,29,F,43050
373,53,Male,47797
374,33,M,38161
375,36,Male,33158
376,56,F,75287
377,41,female,37055
378,37,male,34179
379,54,Female,47516
380,37,F,41735
381,49,male,43037
382,56,male,76156
383,59,F,65875
384,25,Female,31054
385,34,female,46071
386,54,Male,44807
387,45,M,65964
388,46,M,59130
389,49,F,52504
390,30,female,38096
391,43,female,45088
392,33,Male,35099
393,42,M,56145
394,28,male,45084
395,37,Female,51774
396,58,F,68913
397,38,male,35923
398,24,male,23138
399,37,M,34182
400,52,Male,43130
401,57,female,64248
402,32,Female,37070
403,28,Male,28780
404,45,M,43002
405,20,female,32399
406,31,F,29530
407,43,M,49971
408,20,Female,28179
409,23,Female,31467
410,26,Male,23924
411,47,F,50465
412,56,female,77067
413,24,female,27900
414,58,M,64381
415,51,M,45452
416,50,M,45354
417,34,F,29186
418,22,F,26602
419,34,Male,51236
420,37,F,34322
421,40,F,44562
422,29,female,32189
423,40,Male,54189
424,45,male,58308
425,22,F,32364
426,20,Female,26042
427,40,female,44800
428,I am thirty,M,46639
429,35,Female,42067
430,54,female,58683
431,40,male,46691
432,30,M,30586
433,50,male,44520
434,20,female,29927
435,51,F,68262
436,22,male,40019
437,51,Male,68618
438,24,Male,28666
439,56,M,50407
440,31,Male,27973
441,33,male,50958
442,28,Male,28579
443,26,Female,35395
444,35,male,42615
445,47,M,52844
446,26,M,27862
447,33,Male,47654
448,51,female,72117
449,27,F,32526
450,46,F,53222
451,22,male,37831
452,46,male,57948
453,49,male,61526
454,53,Male,46339
455,45,M,38733
456,56,F,46122
457,59,F,62662
458,41,male,36711
459,51,Male,66618
460,21,Female,42340
461,27,M,26055
462,26,M,43707
463,38,F,46991
464,52,Male,45087
465,21,male,22645
466,22,Female,35658
467,47,F,63259
468,33,Female,46525
469,34,male,45437
470,40,Female,46054
471,33,male,30503
472,59,male,56404
473,37,Female,44569
474,58,M,50699
475,39,Female,36512
476,20,Male,36771
477,28,Female,37200
478,28,Male,24776
479,57,F,48214
480,58,M,76032
481,48,Male,42590
482,34,female,32167
483,39,female,42441
484,57,M,80455
485,49,F,51810
486,45,Male,40572
487,25,male,33172
488,58,Male,79378
489,36,Female,52671
490,25,F,34719
491,47,Male,67821
492,28,Female,27201
493,46,M,60225
494,54,Male,48482
495,25,female,33381
496,23,F,26264
497,35,female,45664
498,42,female,48876
499,42,M,44249
500,48,Male,65687
501,23,female,30147
502,59,M,82934
503,59,M,75820
504,43,female,38867
505,25,F,26719
506,59,F,64520
507,25,Female,32884
508,33,female,37901
509,33,Female,47871
510,54,Female,73797
511,25,Male,25075
512,42,F,37545
513,39,F,48651
514,36,Female,37858
515,39,female,53023
516,25,male,29794
517,59,male,79212
518,47,Male,54690
519,32,female,32788
520,48,Female,64375
521,39,Male,51035
522,36,F,38900
523,54,female,50667
524,58,male,80699
525,56,M,49162
526,42,Male,37906
527,37,Female,42002
528,55,female,75519
529,39,male,35433
530,26,M,42474
531,55,F,76102
532,20,Female,32777
533,56,Male,50094
534,54,Male,76165
535,22,male,31400
536,54,Female,48405
537,48,Male,51589
538,28,male,26549
539,56,Female,61875
540,44,Female,38232
541,31,female,39451
542,57,Male,50123
543,26,F,31743
544,26,M,35509
545,23,M,34922
546,50,Male,67469
547,58,M,50332
548,29,female,32721
549,42,M,57547
550,45,F,48259
551,42,F,47302
552,48,Male,42289
553,27,male,25936
554,38,Female,45600
555,48,Male,43701
556,25,F,26485
557,48,F,62828
558,43,M,41747
559,29,F,44413
560,33,Male,45972
561,25,Female,42573
562,23,female,25026
563,34,M,51137
564,56,M,62790
565,58,male,84147
566,47,Female,39962
567,21,M,34720
568,32,female,44625
569,21,F,35881
570,51,Male,43152
571,24,Male,32999
572,22,male,26175
573,21,Male,35843
574,33,M,42524
575,59,M,63335
576,48,M,60780
577,57,Male,82274
578,25,F,28908
579,53,Male,57324
580,27,male,42946
581,21,Male,26865
582,45,Male,62306
583,36,male,48912
584,43,Male,39127
585,50,male,54714
586,35,Female,32289
587,40,M,47636
588,57,Female,60492
589,45,Female,50889
590,36,F,52919
591,23,Female,28290
592,23,M,33681
593,38,M,34260
594,57,male,46740
595,44,male,60689
596,27,F,35457
597,37,Male,48121
598,37,M,35496
599,26,F,35947
600,36,male,51725
601,22,F,40475
602,41,Female,36427
603,34,Male,30891
604,50,F,55067
605,55,male,71385
606,45,female,48892
607,33,M,31182
608,36,Female,51126
609,28,Male,43690
610,26,F,28635
611,46,Female,57662
612,47,Female,40126
613,31,female,38677
614,36,M,51494
615,28,female,33385
616,27,male,42985
617,46,male,60001
618,31,M,45374
619,56,F,66314
620,39,female,52909
621,20,male,35493
622,28,Female,32448
623,43,male,49667
624,53,M,56887
625,55,female,61442
626,23,Female,40555
627,48,Female,64294
628,42,female,48461
629,54,male,60464
630,35,Female,43010
631,27,Female,43046
632,46,M,65924
633,58,Male,50877
634,31,F,34448
635,23,F,27414
636,44,Female,45770
637,25,M,31832
638,22,Male,24554
639,58,Male,62631
640,43,F,43249
641,40,female,53431
642,25,Male,31501
643,52,F,57454
644,27,Female,37209
645,52,female,53485
646,22,F,31815
647,21,male,37685
648,57,Male,76223
649,59,female,80741
650,58,female,51005
651,58,male,52311
652,43,female,46282
653,40,M,43133
654,37,M,46726
655,54,F,60555
656,30,male,42827
657,30,M,26353
658,22,F,22549
659,42,F,48431
660,20,female,35743
661,42,Male,36126
662,41,female,60179
663,49,F,54135
664,21,male,24529
665,36,female,41906
666,39,male,53352
667,28,female,28559
668,30,F,38960
669,36,male,49944
670,33,female,40601
671,37,Female,32772
672,37,M,56741
673,27,M,25766
674,48,Female,58145
675,27,M,25045
676,45,M,60278
677,47,male,42575
678,27,Male,29379
679,39,F,47927
680,27,Male,29792
681,33,Female,35249
682,32,female,47597
683,59,Female,63620
684,36,F,43748
685,45,M,64191
686,25,Female,26533
687,36,M,40425
688,23,F,22887
689,44,M,47621
690,26,F,25270
691,36,Female,50842
692,41,male,38817
693,47,Male,52460
694,25,Male,29920
695,49,F,51586
696,29,M,45318
697,58,F,83514
698,33,F,39169
699,41,male,54601
700,45,Male,38406
701,29,F,37002
702,21,M,26486
703,22,female,29644
704,30,Female,35257
705,29,male,26017
706,31,M,45653
707,33,female,49621
708,49,male,52652
709,32,M,47089
710,49,Male,44327
711,57,male,78465
712,30,M,27261
713,20,Female,26987
714,46,male,41112
715,58,Female,65729
716,56,male,66649
717,28,Female,32327
718,45,Male,61903
719,44,M,60003
720,36,F,32508
721,25,Female,42780
722,34,M,50112
723,22,female,31638
724,50,Male,42194
725,47,female,51445
726,28,female,34927
727,37,M,52315
728,59,M,56593
729,51,Male,68028
730,38,Female,30295
731,24,male,25519
732,25,female,33617
733,31,M,37379
734,36,female,35246
735,58,Male,51853
736,26,female,34446
737,30,Female,33610
738,53,M,45656
739,21,male,35972
740,33,Female,30174
741,37,M,33282
742,28,female,35482
743,58,F,50232
744,23,female,27655
745,33,Male,40964
746,30,Male,34135
747,49,F,65685
748,59,male,64203
749,46,female,48622
750,48,Male,67330
751,51,male,46478
752,49,F,53439
753,45,Female,40123
754,49,Male,66538
755,29,Male,26525
756,31,Female,28058
757,52,female,57430
758,53,Female,55960
759,37,male,42418
760,58,Female,72109
761,35,F,39727
762,23,Female,31657
763,29,Female,44009
764,47,male,66776
765,37,F,40040
766,28,F,27697
767,41,M,48280
768,29,female,36225
769,59,male,67078
770,42,Female,35679
771,32,male,46653
772,43,F,47693
773,32,M,30640
774,44,male,57853
775,48,Male,44890
776,35,F,42203
777,59,M,54293
778,25,female,26497
779,27,M,39616
780,53,F,47936
781,37,F,45391
782,51,Male,45632
783,29,male,40968
784,53,female,57301
785,42,Male,57711
786,38,M,56885
787,39,male,58943
788,53,M,69182
789,57,M,63824
790,36,M,49156
791,24,Male,28939
792,21,female,30898
793,53,male,47128
794,39,male,35855
795,21,male,29261
796,47,Male,42313
797,37,male,52571
798,58,F,80537
799,54,female,57892
800,34,Male,50972
801,58,Male,65787
802,59,Male,52829
803,58,male,78371
804,22,Female,24089
805,38,female,52748
806,42,Male,57689
807,38,Female,48974
808,37,Male,58032
809,49,F,56666
810,58,M,54525
811,38,Male,54652
812,24,Female,30388
813,32,Female,39154
814,53,Male,48326
815,43,male,56313
816,37,Male,36272
817,23,F,24080
818,55,F,62373
819,27,Male,29770
820,20,female,29556
821,57,female,52988
822,55,female,70271
823,57,M,48480
824,32,male,36304
825,41,Female,50808
826,48,Female,60412
827,28,F,38022
828,46,F,53765
829,23,Female,23816
830,59,Female,70190
831,36,F,32759
832,56,Male,66001
833,22,female,34469
834,23,male,29656
835,59,Female,81911
836,35,male,43161
837,30,F,42704
838,46,F,55018
839,45,F,41559
840,50,F,53500
841,53,M,46630
842,27,female,34447
843,58,F,65440
844,20,F,28175
845,21,Female,30199
846,46,Male,65680
847,22,female,26057
848,53,Male,44385
849,35,F,30498
850,20,F,22227
851,26,female,34955
852,54,Female,49563
853,41,Male,55905
854,51,F,44799
855,45,female,53246
856,25,male,26362
857,30,F,35599
858,50,Female,57336
859,40,M,37608
860,41,F,47122
861,20,F,27683
862,40,M,52643
863,39,female,33914
864,28,male,40220
865,46,male,59986
866,48,Female,52098
867,52,male,45974
868,20,F,35585
869,22,Female,27831
870,51,female,56965
871,39,female,44548
872,36,M,50458
873,56,M,48462
874,57,male,73921
875,29,M,36865
876,48,F,53431
877,51,F,57187
878,32,Male,29730
879,50,male,43331
880,23,Male,40588
881,37,male,38692
882,30,M,43653
883,37,F,52266
884,56,female,61725
885,52,Female,55674
886,56,female,48736
887,22,female,34741
888,20,female,27381
889,38,M,43587
890,25,M,37913
891,29,Female,43295
892,56,male,48277
893,31,F,36137
894,36,M,46871
895,46,M,62717
896,21,female,35173
897,44,Male,50311
898,47,Male,63546
899,56,M,73551
900,56,female,59765
901,36,female,41588
902,24,male,42259
903,38,female,51453
904,23,male,21602
905,58,F,78828
906,57,female,65648
907,49,Female,55481
908,51,male,65562
909,56,M,62166
910,46,male,64700
911,51,M,67686
912,30,M,28183
913,32,male,45100
914,54,F,59243
915,36,Female,39041
916,49,M,43777
917,37,Female,43037
918,56,Female,76237
919,49,Female,54201
920,45,Female,47571
921,35,F,32116
922,30,female,40376
923,23,Male,38458
924,34,Male,30443
925,31,Female,47058
926,46,male,67315
927,23,M,31802
928,54,female,59318
929,40,F,48171
930,55,Female,59693
931,21,M,25446
932,58,F,76772
933,47,Male,51318
934,53,Female,60264
935,52,male,60263
936,27,Female,33803
937,27,M,44804
938,41,M,47072
939,46,Male,49461
940,47,F,51337
941,30,F,45854
942,46,M,43380
943,20,F,31172
944,58,Male,66435
945,47,Female,60176
946,46,M,64405
947,27,F,35498
948,43,Male,39038
949,59,Female,66750
950,55,female,45631
951,43,Female,52689
952,41,M,46809
953,29,female,28382
954,23,female,30542
955,27,Female,42648
956,58,male,51682
957,34,Female,49438
958,27,Male,28788
959,48,Male,41677
960,58,Male,79200
961,54,F,58261
962,33,Male,27848
963,51,F,55769
964,26,F,28454
965,52,Male,44478
966,54,F,73961
967,46,Male,53177
968,20,Female,37283
969,25,Male,24857
970,21,male,28009
971,26,female,40671
972,27,male,34613
973,48,M,66694
974,35,Male,51415
975,48,F,59168
976,50,male,58598
977,41,F,45478
978,29,Female,49103
979,23,Male,28582
980,44,male,46955
981,32,Female,39824
982,36,male,32828
983,59,female,60033
984,27,male,45486
985,42,F,48564
986,26,F,33025
987,51,Female,56016
988,43,F,47713
989,20,Male,19516
990,55,Female,58822
991,46,Female,49726
992,25,M,27909
993,50,Female,54085
994,31,F,38090
995,45,F,49790
996,44,male,37789
997,23,F,31621
998,25,male,32459
999,32,Male,49373
1000,44,Male,58936
1001,50,male,53919
1002,41,F,48082
1003,54,Female,72325
1004,40,female,47325
1005,34,Male,47131
1006,22,Female,37378
1007,56,F,60554
1008,45,M,38685
1009,36,F,36740
1010,57,M,53105
1011,54,F,46881
1012,27,Female,28125
1013,30,F,36061
1014,43,F,50785
1015,27,Male,24172
1016,49,Male,54755
1017,20,female,37349
1018,53,F,71630
1019,39,M,34174
1020,55,female,45644
1021,53,male,57164
1022,53,Female,54274
1023,32,male,48451
1024,25,female,33536
1025,55,M,62649
1026,44,F,47110
1027,46,Female,59525
1028,50,F,56517
1029,22,Female,38301
1030,47,Male,58827
1031,23,Female,29505
1032,36,Female,45088
1033,57,F,64749
1034,53,F,58027
1035,39,female,33347
1036,32,male,43896
1037,24,female,24649
1038,43,F,45089
1039,57,F,52563
1040,36,M,44043
1041,50,female,52752
1042,47,F,56383
1043,20,female,22342
1044,21,F,29635
1045,52,male,68870
1046,59,Female,62903
1047,48,F,41968
1048,23,Female,33016
1049,37,male,50905
1050,43,Male,38393
1051,51,F,69449
1052,28,female,31429
1053,35,M,37436
1054,40,Male,45701
1055,49,Female,51703
1056,22,Male,36401
1057,52,Female,60199
1058,50,male,42064
1059,33,Female,45206
1060,25,female,34615
1061,24,F,22195
1062,48,F,52804
1063,56,Female,67042
1064,55,Male,74946
1065,40,female,47277
1066,31,M,36275
1067,42,Male,35530
1068,33,Female,35603
1069,29,M,44099
1070,46,female,63176
1071,21,M,40889
1072,33,Female,30529
1073,26,Female,41326
1074,36,male,33061
1075,39,M,50966
1076,27,female,34591
1077,39,M,46656
1078,55,Male,49757
1079,24,Male,30162
1080,32,F,44077
1081,58,M,77565
1082,57,M,80106
1083,36,M,49848
1084,25,female,35065
1085,38,Male,52429
1086,44,male,39111
1087,22,female,32527
1088,47,Female,56527
1089,45,male,60580
1090,27,Female,33128
1091,34,female,38182
1092,20,M,32912
1093,59,male,77853
1094,42,Male,36833
1095,55,F,50139
1096,35,male,51044
1097,23,Female,26084
1098,27,F,43387
1099,55,male,77336
1100,29,M,41394
1101,49,male,54766
1102,55,Male,45744
1103,35,Male,29692
1104,49,female,54535
1105,29,female,43091
1106,30,male,29198
1107,53,Male,47939
1108,35,M,35126
1109,38,male,52987
1110,23,F,24540
1111,50,male,43035
1112,54,female,49282
1113,53,Female,69783
1114,45,female,49574
1115,58,male,65565
1116,25,male,26139
1117,52,M,57549
1118,46,female,49318
1119,31,Female,46357
1120,27,female,38842
1121,28,female,31977
1122,20,F,21210
1123,24,Female,40844
1124,26,male,41209
1125,37,Female,45520
1126,59,Male,50955
1127,43,Male,50155
1128,45,Female,40740
1129,29,Female,26826
1130,59,Male,78008
1131,31,female,29835
1132,41,male,54124
1133,46,Male,42940
1134,22,male,31922
1135,37,F,41432
1136,24,Male,38316
1137,33,male,50064
1138,44,female,49042
1139,50,male,59715
1140,40,M,46447
1141,57,F,61238
1142,39,Male,51281
1143,33,male,33029
1144,39,male,52938
1145,56,F,62214
1146,49,M,58644
1147,39,F,44393
1148,26,Female,24134
1149,24,male,22913
1150,50,F,70849
1151,48,M,64112
1152,34,male,31208
1153,44,male,65654
1154,32,Female,32190
1155,43,Male,41378
1156,34,Male,34103
1157,43,female,49979
1158,45,male,53593
1159,38,Female,33400
1160,43,male,56442
1161,38,M,32254
1162,36,male,30211
1163,24,male,39064
1164,23,M,22140
1165,41,Male,35007
1166,29,male,28110
1167,40,female,39493
1168,44,M,49016
1169,25,Female,32533
1170,49,M,71662
1171,48,female,53731
1172,30,female,44771
1173,30,M,48600
1174,46,M,40541
1175,38,M,35078
1176,41,male,38729
1177,47,male,50589
1178,23,female,33205
1179,56,Male,71899
1180,38,Male,54777
1181,36,M,43089
1182,59,Female,64448
1183,55,M,48315
1184,42,male,40717
1185,47,M,51985
1186,30,M,30091
1187,33,Male,31257
1188,32,female,36645
1189,43,Male,37505
1190,35,F,41571
1191,47,Female,44264
1192,49,Male,62762
1193,58,F,67643
1194,46,male,42083
1195,36,M,32863
1196,45,F,50913
1197,26,male,27697
1198,54,Male,45829
1199,34,male,48169
1200,35,Female,40715
1201,40,Female,41720
1202,36,male,34761
1203,45,Female,48828
1204,54,Female,58442
1205,39,Female,35338
1206,39,F,45341
1207,42,F,38428
1208,24,male,38873
1209,28,Male,28437
1210,42,female,45643
1211,37,female,42852
1212,48,male,66444
1213,30,Female,42887
1214,27,Male,41588
1215,46,male,63998
1216,21,Male,35913
1217,42,Female,54270
1218,40,Female,38689
1219,29,F,30562
1220,57,M,63020
1221,23,M,27574
1222,40,M,37327
1223,56,M,49160
1224,31,F,35730
1225,33,male,44618
1226,39,M,53701
1227,27,female,25687
1228,46,female,49447
1229,56,F,50122
1230,40,F,42341
1231,54,Male,68509
1232,58,male,78559
1233,34,F,41118
1234,31,F,46548
1235,53,F,55109
1236,27,Female,32467
1237,56,Female,73922
1238,49,Male,40754
1239,22,male,24312
1240,49,Female,43816
1241,48,F,42271
1242,20,F,31178
1243,35,female,45070
1244,50,M,53584
1245,29,M,37724
1246,49,M,70033
1247,45,male,49295
1248,31,F,38160
1249,59,M,49922
1250,24,Female,30952
1251,28,Male,28634
1252,30,male,29165
1253,42,M,48780
1254,36,Male,49468
1255,32,male,40209
1256,36,female,48196
1257,42,Female,58742
1258,58,F,62911
1259,28,M,24920
1260,37,F,35220
1261,37,male,29502
1262,49,male,64283
1263,45,F,47936
1264,37,Female,36148
1265,40,male,57466
1266,52,Female,55161
1267,33,M,44311
1268,29,M,42217
1269,47,F,60663
1270,33,M,51446
1271,38,F,39641
1272,45,M,43321
1273,29,male,29168
1274,36,male,52278
1275,53,F,47053
1276,33,F,28370
1277,45,Female,63356
1278,53,female,71563
1279,38,female,41321
1280,43,female,50577
1281,50,Female,57546
1282,59,male,82608
1283,25,male,42130
1284,39,F,34541
1285,58,Male,65360
1286,53,Female,60913
1287,41,F,48315
1288,26,male,34156
1289,52,F,45866
1290,25,male,37738
1291,35,Female,35107
1292,27,Female,41354
1293,42,Male,38576
1294,37,M,52376
1295,33,male,51070
1296,55,Male,51833
1297,34,Female,48694
1298,24,M,25835
1299,34,male,42876
1300,30,M,27179
1301,21,Male,33424
1302,42,Female,45790
1303,43,M,49896
1304,37,Male,42660
1305,23,Male,23698
1306,34,Female,42575
1307,31,Female,33927
1308,22,female,35150
1309,51,M,68427
1310,55,male,51823
1311,40,Female,43852
1312,25,Female,26952
1313,21,female,29286
1314,28,female,32208
1315,31,Female,38406
1316,43,Male,58011
1317,33,M,30236
1318,31,female,34338
1319,46,Female,62670
1320,29,Male,31158
1321,21,Female,34494
1322,50,F,52917
1323,47,M,38853
1324,35,M,29490
1325,20,Female,22930
1326,41,F,46445
1327,20,M,23852
1328,50,Female,44138
1329,41,Male,37329
1330,53,Female,61881
1331,31,Male,32004
1332,42,M,39870
1333,47,female,54452
1334,31,Female,38702
1335,46,M,58338
1336,42,Female,57030
1337,20,Male,29553
1338,21,male,33820
1339,50,male,47268
1340,21,Female,28904
1341,44,Male,55650
1342,57,F,62186
1343,38,Female,44350
1344,47,M,61390
1345,25,M,39272
1346,58,M,73980
1347,38,female,42459
1348,36,Male,50794
1349,25,Female,32309
1350,34,F,41602
1351,41,male,35289
1352,53,female,47500
1353,24,male,26406
1354,42,Female,36546
1355,24,male,23874
1356,29,M,31494
1357,23,F,30369
1358,31,M,38157
1359,29,M,44667
1360,49,Male,62487
1361,43,Male,48652
1362,24,M,39158
1363,32,male,33495
1364,55,F,61128
1365,28,F,36502
1366,37,M,35431
1367,54,F,59089
1368,50,female,73281
1369,43,Male,37237
1370,23,male,33521
1371,45,male,45709
1372,29,Male,42167
1373,28,female,24732
1374,20,F,27425
1375,35,male,40715
1376,32,M,47161
1377,57,Female,62207
1378,33,female,37419
1379,59,male,51388
1380,42,male,38730
1381,37,Female,49069
1382,47,M,61847
1383,39,Male,36065
1384,20,female,29163
1385,31,F,33609
1386,46,M,53506
1387,32,male,45231
1388,23,Female,28510
1389,44,F,46187
1390,25,Female,42508
1391,41,F,41544
1392,57,Female,51162
1393,55,Female,76436
1394,22,Male,35944
1395,34,F,43325
1396,30,Male,27407
1397,53,female,59761
1398,46,Male,41156
1399,42,female,40846
1400,36,M,32785
1401,42,F,48154
1402,53,Male,47054
1403,40,Male,41938
1404,52,Male,45741
1405,24,Female,24362
1406,36,Male,-42156
1407,20,Female,29923
1408,26,female,36209
1409,22,female,25191
1410,45,Male,61229
1411,35,male,37853
1412,35,Male,51135
1413,33,male,35071
1414,45,Female,49448
1415,46,male,39570
1416,36,Male,40560
1417,23,F,34410
1418,36,Male,28555
1419,52,M,46455
1420,49,M,66123
1421,40,Female,43615
1422,36,F,39188
1423,30,M,30621
1424,49,Male,69586
1425,37,male,52212
1426,39,male,48515
1427,53,Female,70972
1428,47,F,52956
1429,28,M,41677
1430,50,Female,54949
1431,35,female,47788
1432,50,male,66794
1433,48,F,55325
1434,32,Female,46998
1435,42,male,36790
1436,33,F,38309
1437,58,Male,81902
1438,21,F,27252
1439,31,female,35745
1440,47,F,51811
1441,51,M,55063
1442,43,Female,62261
1443,56,M,51229
1444,48,Male,42237
1445,37,Male,37719
